text	label
UNkanyiso nomkhankaso wokwehlisa isisindo	Ezokungcebeleka
Abaphathi bakaPitso kabaneme ngesixoliso seSundowns	Ezemidlalo
Amathe abuyele kwasifuba kushada osaziwayo	Ezokungcebeleka
ULarsen ugxile kokuhlukile	Ezemidlalo
Aseqalile amakhonsathi eJoyous Celebration	Ezokungcebeleka
‘UMakhubela ngeke lumone udumo’	Ezemidlalo
UKhuzani ufuna ubufakazi kombangisa ngesiqholo	Ezokungcebeleka
Umaskanda uvulelwe icala ngowoKhozi FM	Ezokungcebeleka
Umthwalo weChampions League kuMessi wePSG	Ezemidlalo
IMaritzburg ngeke ikujahe ukuvala isikhala somgadli	Ezemidlalo
UKhuzani uselufake kubameli olwemali	Ezokungcebeleka
Ithuba lokubuka umdlalo iLegacy	Ezokungcebeleka
Aluvalwe uhlelo lukaJub Jub Uyajola9/9	Imibono
IBanyana nephupho leyoMhlaba	Ezemidlalo
I-NFP isalidinga ithuba lokukhombisa ubuqotho	Imibono
Ukhuza ibuya uJerry Maake kwiThe Queen	Ezokungcebeleka
Odayisa umqombhothi akanandaba nabamgxekayo	Intandokazi
UMbau uxwayisa ngokuziyebula isikhumba	Ezokungcebeleka
Bahloniphe uMlambo-Ngcuka ngengoma	Ezokungcebeleka
UsekwiVuma futhi uSefatsa	Ezokungcebeleka
OweLeopards usongela abanga isicoco sePSL	Ezemidlalo
UDJ Bongz neseluleko kumaciko	Ezokungcebeleka
Amawele aseThekwini ohlelweni ku-e.tv	Ezokungcebeleka
Ibalulekile i-sign language emsakazweni	Ezokungcebeleka
Ubonga ukuqokwa kumaCrown yize engawinanga	Ezokungcebeleka
IGcokama lisolwa ngokuhamba libhabhabala	Ezokungcebeleka
Kuswele ozogadla koDJ bexabana	Ezokungcebeleka
Kuzobe kuphithizela osaziwayo emshadweni womlingisi	Ezokungcebeleka
Kuqoshwa isizini entsha yoThando Lodumo	Ezokungcebeleka
Usuthu lukhombe uCamaldine Abraw afike ngayo	Ezemidlalo
UThuso Phala uchaza ngomdanso wakhe	Ezokungcebeleka
ICell C Sharks izigwazele ibhece kwiSunwolves	Ezemidlalo
Ithuba lokuqeda ubunzima kwezamafilimu	Ezokungcebeleka
UChippa akazisoli ngokuxosha abaqeqeshi	Ezemidlalo
UPitso ukhonjwa eGibhithe	Ezemidlalo
UDanger noLvovo bakhiphe i-albhamu ngokuhlanganyela	Ezokungcebeleka
UMicho ukhala ngababhacazile	Ezemidlalo
Kwakunzima babekezela manje sebevelele emikhakheni ehlukene	Intandokazi
Ususe umsindo umdlali weChiefs ngokufuna ukudlala	Ezemidlalo
Zakhele isitayela sakho ngeduku	Intandokazi
Iziqephu zeLockdown sezizobukwa kwiShowmax	Ezokungcebeleka
Kubhekwe bathathe umqhele kuPogba eRussia	Ezemidlalo
